student_id,full_name,governorate,district,lat,lng,gender,status
BGD000048,Rania Zaid Al-Janabi,Baghdad,Karkh,33.34251,44.39858,F,active
BGD000049,Sara Yusuf Al-Khafaji,Baghdad,Adhamiyah,33.37704,44.40365,F,active
BGD000050,Rania Yusuf Al-Mosuli,Baghdad,Kadhimiyah,33.36213,44.32947,F,active
BGD000051,Ahmed Yusuf Al-Dulaimi,Baghdad,Mahmudiyah,33.02888,44.37569,M,active
BGD000052,Ali Mohammed Al-Hamdani,Baghdad,Mansour,33.31525,44.34526,M,active
BGD000053,Fatima Ali Al-Dulaimi,Baghdad,Abu Ghraib,33.35195,44.16065,F,active
BGD000054,Mustafa Ali Al-Zubaidi,Baghdad,Rusafa,33.33522,44.41371,M,active
BGD000055,Ali Ali Al-Jubouri,Baghdad,Mansour,33.28233,44.31494,M,active
BGD000056,Noor Mustafa Al-Zubaidi,Baghdad,Adhamiyah,33.3768,44.39375,F,active
BGD000057,Zainab Mohammed Al-Tamimi,Baghdad,Abu Ghraib,33.27175,44.13558,F,active
BGD000058,Dina Ali Al-Tamimi,Baghdad,Karkh,33.29329,44.36045,F,active
BGD000059,Mustafa Yusuf Al-Hamdani,Baghdad,Sadr City,33.35907,44.40249,M,active
BGD000060,Hassan Yusuf Al-Obaidi,Baghdad,Karkh,33.35159,44.32904,M,active
BGD000061,Aya Omar Al-Obaidi,Baghdad,Karkh,33.31092,44.36166,F,active
BGD000062,Hawraa Ali Al-Baghdadi,Baghdad,Adhamiyah,33.37042,44.35915,F,active
BGD000063,Yusuf Ahmed Al-Dulaimi,Baghdad,Sadr City,33.39877,44.45695,M,active
BGD000064,Mohammed Omar Al-Hamdani,Baghdad,Adhamiyah,33.37465,44.37715,M,active
BGD000065,Hawraa Mohammed Al-Hamdani,Baghdad,Mansour,33.28862,44.33243,F,active
BGD000066,Aya Zaid Al-Basri,Baghdad,Abu Ghraib,33.27514,44.18314,F,active
BGD000067,Ali Mohammed Al-Shammari,Baghdad,Abu Ghraib,33.30972,44.19067,M,active
BGD000068,Karrar Ali Al-Janabi,Baghdad,Sadr City,33.40127,44.43746,M,active
BGD000069,Hassan Mohammed Al-Hamdani,Baghdad,Rusafa,33.3485,44.40614,M,active
BGD000070,Ali Ahmed Al-Obaidi,Baghdad,Mansour,33.32843,44.30783,M,active
BGD000071,Ali Omar Al-Zubaidi,Baghdad,Sadr City,33.4082,44.43465,M,active
BGD000072,Maryam Ahmed Al-Tamimi,Baghdad,Karkh,33.31698,44.35999,F,active
BGD000073,Hussein Ahmed Al-Janabi,Baghdad,Sadr City,33.36127,44.45579,M,active
BGD000074,Hawraa Mohammed Al-Khafaji,Baghdad,Kadhimiyah,33.3581,44.39286,F,active
BGD000075,Hawraa Hussein Al-Baghdadi,Baghdad,Mansour,33.30164,44.32586,F,active
BGD000076,Karrar Hassan Al-Khafaji,Baghdad,Rusafa,33.34373,44.39143,M,active
BGD000077,Ali Ali Al-Dulaimi,Baghdad,Rusafa,33.28989,44.41769,M,active
BGD000078,Hussein Zaid Al-Dulaimi,Baghdad,Karkh,33.29759,44.3491,M,active
BGD000079,Hussein Hussein Al-Baghdadi,Baghdad,Adhamiyah,33.41083,44.34296,M,active
BGD000080,Hawraa Mohammed Al-Shammari,Baghdad,Sadr City,33.39012,44.47982,F,active
BGD000081,Layla Mustafa Al-Azzawi,Baghdad,Kadhimiyah,33.39212,44.36058,F,active
BGD000082,Ahmed Hassan Al-Basri,Baghdad,Mahmudiyah,33.07415,44.3498,M,active
BGD000083,Hussein Hassan Al-Hamdani,Baghdad,Abu Ghraib,33.23745,44.1882,M,active
BGD000084,Rania Hassan Al-Jubouri,Baghdad,Adhamiyah,33.31883,44.37422,F,active
BGD000085,Maryam Mohammed Al-Khafaji,Baghdad,Rusafa,33.32358,44.43647,F,active
BGD000086,Aya Mohammed Al-Dulaimi,Baghdad,Abu Ghraib,33.33275,44.18304,F,active
BGD000087,Sara Zaid Al-Hamdani,Baghdad,Mahmudiyah,33.04383,44.34146,F,active
BGD000088,Fatima Hassan Al-Obaidi,Baghdad,Kadhimiyah,33.38518,44.37101,F,active
BGD000089,Yusuf Zaid Al-Jubouri,Baghdad,Sadr City,33.37568,44.44603,M,active
BGD000090,Hassan Mohammed Al-Dulaimi,Baghdad,Kadhimiyah,33.40465,44.27449,M,active
BGD000091,Ahmed Ahmed Al-Zubaidi,Baghdad,Adhamiyah,33.39082,44.37753,M,active
BGD000092,Layla Hassan Al-Zubaidi,Baghdad,Sadr City,33.3823,44.47467,F,active
BGD000093,Zainab Mustafa Al-Mosuli,Baghdad,Mansour,33.31678,44.33166,F,active
BGD000094,Dina Mohammed Al-Jubouri,Baghdad,Adhamiyah,33.33434,44.32458,F,active
BGD000095,Noor Yusuf Al-Saadi,Baghdad,Abu Ghraib,33.28035,44.17049,F,active
BGD000096,Noor Yusuf Al-Shammari,Baghdad,Sadr City,33.36226,44.43852,F,active
BGD000097,Ahmed Ahmed Al-Mosuli,Baghdad,Abu Ghraib,33.2875,44.15184,M,active
BGD000098,Zainab Hussein Al-Tamimi,Baghdad,Abu Ghraib,33.3019,44.19128,F,active
BGD000099,Mohammed Omar Al-Saadi,Baghdad,Karkh,33.30544,44.36237,M,active
BGD000100,Yusuf Ahmed Al-Dulaimi,Baghdad,Sadr City,33.3787,44.45367,M,active
BGD000101,Karrar Hussein Al-Jubouri,Baghdad,Rusafa,33.34028,44.34619,M,active
BGD000102,Dina Mohammed Al-Shammari,Baghdad,Abu Ghraib,33.31917,44.17795,F,active
BGD000103,Omar Omar Al-Basri,Baghdad,Mahmudiyah,33.03462,44.37456,M,active
BGD000104,Yusuf Hussein Al-Obaidi,Baghdad,Adhamiyah,33.39846,44.39902,M,active
BGD000105,Maryam Mustafa Al-Obaidi,Baghdad,Mansour,33.3078,44.30212,F,active
BGD000106,Hassan Hussein Al-Rubaie,Baghdad,Adhamiyah,33.36094,44.40194,M,active
BGD000107,Hussein Yusuf Al-Mosuli,Baghdad,Abu Ghraib,33.34427,44.18049,M,active
BGD000108,Rania Ahmed Al-Baghdadi,Baghdad,Rusafa,33.29937,44.44122,F,active
BGD000109,Fatima Hussein Al-Hamdani,Baghdad,Sadr City,33.41341,44.42398,F,active
BGD000110,Hawraa Omar Al-Jubouri,Baghdad,Mansour,33.30714,44.31181,F,active
BGD000111,Dina Hassan Al-Hamdani,Baghdad,Karkh,33.2855,44.32419,F,active
BGD000112,Karrar Omar Al-Basri,Baghdad,Mansour,33.33083,44.29737,M,active
BGD000113,Noor Hassan Al-Dulaimi,Baghdad,Kadhimiyah,33.32214,44.32997,F,active
BGD000114,Yusuf Yusuf Al-Khafaji,Baghdad,Karkh,33.30256,44.33793,M,active
BGD000115,Hassan Ali Al-Janabi,Baghdad,Kadhimiyah,33.3849,44.31937,M,active
BGD000116,Mustafa Omar Al-Janabi,Baghdad,Abu Ghraib,33.31166,44.16909,M,active
BGD000117,Aya Mustafa Al-Obaidi,Baghdad,Adhamiyah,33.34293,44.39046,F,active
BGD000118,Layla Ahmed Al-Khafaji,Baghdad,Sadr City,33.4514,44.45944,F,active
BGD000119,Hussein Yusuf Al-Janabi,Baghdad,Adhamiyah,33.34152,44.36762,M,active
BGD000120,Zainab Karrar Al-Basri,Baghdad,Sadr City,33.38834,44.47319,F,active
BGD000121,Mustafa Hassan Al-Zubaidi,Baghdad,Mansour,33.282,44.29615,M,active
BGD000122,Zainab Hassan Al-Khafaji,Baghdad,Adhamiyah,33.35195,44.40273,F,active
BGD000123,Ahmed Hussein Al-Rubaie,Baghdad,Sadr City,33.37876,44.46159,M,active
BGD000124,Hawraa Mohammed Al-Zubaidi,Baghdad,Adhamiyah,33.39453,44.38172,F,active
BGD000125,Zainab Omar Al-Tamimi,Baghdad,Abu Ghraib,33.29137,44.20424,F,active
BGD000126,Ahmed Ahmed Al-Tamimi,Baghdad,Kadhimiyah,33.3924,44.30947,M,active
BGD000127,Hussein Ahmed Al-Khafaji,Baghdad,Sadr City,33.3666,44.42893,M,active
BGD000128,Mohammed Karrar Al-Rubaie,Baghdad,Adhamiyah,33.37393,44.39617,M,active
BGD000129,Ali Yusuf Al-Shammari,Baghdad,Sadr City,33.38148,44.43101,M,active
BGD000130,Mustafa Hussein Al-Hamdani,Baghdad,Sadr City,33.39256,44.45861,M,active
BGD000131,Mohammed Zaid Al-Tamimi,Baghdad,Rusafa,33.29568,44.42757,M,active
BGD000132,Fatima Ahmed Al-Baghdadi,Baghdad,Kadhimiyah,33.42812,44.35424,F,active
BGD000133,Aya Zaid Al-Rubaie,Baghdad,Sadr City,33.35517,44.46911,F,active
BGD000134,Sara Zaid Al-Saadi,Baghdad,Adhamiyah,33.37267,44.38353,F,active
BGD000135,Yusuf Yusuf Al-Khafaji,Baghdad,Abu Ghraib,33.2694,44.21514,M,active
BGD000136,Mohammed Hassan Al-Janabi,Baghdad,Kadhimiyah,33.44073,44.28515,M,active
BGD000137,Hussein Mohammed Al-Shammari,Baghdad,Mahmudiyah,33.07846,44.36888,M,active
BGD000138,Yusuf Zaid Al-Zubaidi,Baghdad,Mahmudiyah,33.09648,44.32863,M,active
BGD000139,Aya Zaid Al-Shammari,Baghdad,Karkh,33.28252,44.3937,F,active
BGD000140,Omar Zaid Al-Baghdadi,Baghdad,Mahmudiyah,33.038,44.38504,M,active
BGD000141,Hawraa Ali Al-Obaidi,Baghdad,Adhamiyah,33.38,44.32906,F,active
BGD000142,Karrar Omar Al-Azzawi,Baghdad,Karkh,33.30204,44.33224,M,active
BGD000143,Ali Karrar Al-Dulaimi,Baghdad,Adhamiyah,33.39498,44.41938,M,active
BGD000144,Ahmed Mohammed Al-Janabi,Baghdad,Karkh,33.26913,44.35657,M,active
BGD000145,Zainab Mustafa Al-Saadi,Baghdad,Sadr City,33.37279,44.47294,F,active
BGD000146,Ahmed Hassan Al-Hamdani,Baghdad,Kadhimiyah,33.385,44.32627,M,active
BGD000147,Aya Omar Al-Azzawi,Baghdad,Sadr City,33.39125,44.46733,F,active
BGD000148,Mohammed Yusuf Al-Dulaimi,Baghdad,Kadhimiyah,33.38012,44.34067,M,active
BGD000149,Zainab Hassan Al-Zubaidi,Baghdad,Adhamiyah,33.42473,44.39356,F,active
BGD000150,Noor Hussein Al-Basri,Baghdad,Kadhimiyah,33.36002,44.3515,F,active
BGD000151,Dina Hassan Al-Obaidi,Baghdad,Mahmudiyah,33.10224,44.36057,F,active
BGD000152,Hassan Hassan Al-Zubaidi,Baghdad,Adhamiyah,33.38005,44.3359,M,active
BGD000153,Zaid Mohammed Al-Tamimi,Baghdad,Rusafa,33.3733,44.41742,M,active
BGD000154,Rania Hassan Al-Azzawi,Baghdad,Karkh,33.30043,44.34371,F,active
BGD000155,Dina Ali Al-Basri,Baghdad,Adhamiyah,33.36336,44.38968,F,active
BGD000156,Karrar Karrar Al-Mosuli,Baghdad,Kadhimiyah,33.44487,44.34348,M,active
BGD000157,Mohammed Ahmed Al-Azzawi,Baghdad,Karkh,33.28341,44.34084,M,active
BGD000158,Mustafa Mustafa Al-Shammari,Baghdad,Karkh,33.28975,44.3599,M,active
BGD000159,Hawraa Hassan Al-Azzawi,Baghdad,Mansour,33.35025,44.32412,F,active
BGD000160,Omar Yusuf Al-Azzawi,Baghdad,Adhamiyah,33.41985,44.36968,M,active
BGD000161,Fatima Omar Al-Basri,Baghdad,Adhamiyah,33.3657,44.37318,F,active
BGD000162,Fatima Ahmed Al-Baghdadi,Baghdad,Mahmudiyah,33.07813,44.33397,F,active
BGD000163,Yusuf Hussein Al-Baghdadi,Baghdad,Karkh,33.30501,44.38075,M,active
BGD000164,Mohammed Yusuf Al-Shammari,Baghdad,Kadhimiyah,33.37555,44.35313,M,active
BGD000165,Karrar Omar Al-Obaidi,Baghdad,Mansour,33.33154,44.30663,M,active
BGD000166,Layla Yusuf Al-Baghdadi,Baghdad,Sadr City,33.40322,44.44818,F,active
BGD000167,Hassan Karrar Al-Basri,Baghdad,Adhamiyah,33.35681,44.36072,M,active
BGD000168,Yusuf Omar Al-Khafaji,Baghdad,Sadr City,33.36749,44.48499,M,active
BGD000169,Yusuf Ali Al-Baghdadi,Baghdad,Mahmudiyah,33.02828,44.37686,M,active
BGD000170,Yusuf Mustafa Al-Rubaie,Baghdad,Abu Ghraib,33.26133,44.19547,M,active
BGD000171,Hawraa Mustafa Al-Jubouri,Baghdad,Mahmudiyah,33.06355,44.37949,F,active
BGD000172,Omar Hussein Al-Dulaimi,Baghdad,Abu Ghraib,33.34844,44.14556,M,active
BGD000173,Dina Karrar Al-Rubaie,Baghdad,Sadr City,33.38017,44.43219,F,active
BGD000174,Dina Yusuf Al-Khafaji,Baghdad,Karkh,33.27973,44.34772,F,active
BGD000175,Aya Ali Al-Azzawi,Baghdad,Rusafa,33.32922,44.42942,F,active
BGD000176,Karrar Hussein Al-Dulaimi,Baghdad,Mahmudiyah,33.06953,44.39213,M,active
BGD000177,Dina Ahmed Al-Hamdani,Baghdad,Mahmudiyah,33.03888,44.40525,F,active
BGD000178,Zaid Hussein Al-Dulaimi,Baghdad,Abu Ghraib,33.28875,44.17664,M,active
BGD000179,Rania Zaid Al-Dulaimi,Baghdad,Abu Ghraib,33.30312,44.17661,F,active
BGD000180,Ahmed Mohammed Al-Khafaji,Baghdad,Adhamiyah,33.41888,44.40665,M,active
BGD000181,Layla Ahmed Al-Obaidi,Baghdad,Karkh,33.32737,44.3662,F,active
BGD000182,Rania Ali Al-Tamimi,Baghdad,Adhamiyah,33.35847,44.34137,F,active
BGD000183,Ali Hassan Al-Mosuli,Baghdad,Mahmudiyah,33.04488,44.37248,M,active
BGD000184,Ali Yusuf Al-Azzawi,Baghdad,Kadhimiyah,33.40713,44.31849,M,active
BGD000185,Omar Hassan Al-Tamimi,Baghdad,Adhamiyah,33.37198,44.3644,M,active
BGD000186,Yusuf Yusuf Al-Khafaji,Baghdad,Adhamiyah,33.3915,44.37059,M,active
BGD000187,Layla Omar Al-Zubaidi,Baghdad,Sadr City,33.39081,44.48921,F,active
BGD000188,Mohammed Ahmed Al-Dulaimi,Baghdad,Karkh,33.30059,44.32266,M,active
BGD000189,Zainab Hussein Al-Jubouri,Baghdad,Rusafa,33.36288,44.44328,F,active
BGD000190,Hawraa Ahmed Al-Khafaji,Baghdad,Adhamiyah,33.36702,44.34831,F,active
BGD000191,Ahmed Yusuf Al-Baghdadi,Baghdad,Abu Ghraib,33.2794,44.16827,M,active
BGD000192,Hawraa Zaid Al-Saadi,Baghdad,Sadr City,33.4012,44.45021,F,active
BGD000193,Omar Ali Al-Dulaimi,Baghdad,Mahmudiyah,33.04648,44.33649,M,active
BGD000194,Dina Ahmed Al-Khafaji,Baghdad,Abu Ghraib,33.29155,44.15995,F,active
BGD000195,Karrar Mohammed Al-Tamimi,Baghdad,Sadr City,33.40477,44.45156,M,active
BGD000196,Hussein Ahmed Al-Zubaidi,Baghdad,Mansour,33.3102,44.30753,M,active
BGD000197,Karrar Yusuf Al-Janabi,Baghdad,Sadr City,33.42505,44.44143,M,active
BGD000198,Ahmed Ahmed Al-Hamdani,Baghdad,Adhamiyah,33.37181,44.39125,M,active
BGD000199,Ahmed Ahmed Al-Obaidi,Baghdad,Adhamiyah,33.4166,44.37294,M,active
BGD000200,Noor Karrar Al-Saadi,Baghdad,Abu Ghraib,33.35605,44.18793,F,active
BGD000201,Maryam Mohammed Al-Saadi,Baghdad,Karkh,33.324,44.39278,F,active
BGD000202,Maryam Karrar Al-Hamdani,Baghdad,Adhamiyah,33.34287,44.40953,F,active
BGD000203,Mohammed Zaid Al-Shammari,Baghdad,Kadhimiyah,33.37031,44.32513,M,active
BGD000204,Omar Ahmed Al-Baghdadi,Baghdad,Kadhimiyah,33.40656,44.29363,M,active
BGD000205,Mustafa Ahmed Al-Khafaji,Baghdad,Abu Ghraib,33.31498,44.18075,M,active
BGD000206,Dina Mustafa Al-Dulaimi,Baghdad,Kadhimiyah,33.43381,44.32519,F,active
BGD000207,Aya Mustafa Al-Khafaji,Baghdad,Sadr City,33.37732,44.43815,F,active
BGD000208,Dina Zaid Al-Dulaimi,Baghdad,Rusafa,33.32319,44.42928,F,active
BGD000209,Zainab Hussein Al-Zubaidi,Baghdad,Rusafa,33.31613,44.38054,F,active
BGD000210,Maryam Karrar Al-Zubaidi,Baghdad,Mansour,33.26731,44.31783,F,active
BGD000211,Zaid Mustafa Al-Janabi,Baghdad,Sadr City,33.41015,44.46835,M,active
BGD000212,Mustafa Mohammed Al-Basri,Baghdad,Mansour,33.30804,44.2946,M,active
BGD000213,Fatima Mohammed Al-Basri,Baghdad,Rusafa,33.33702,44.44493,F,active
BGD000214,Layla Ali Al-Baghdadi,Baghdad,Adhamiyah,33.40844,44.35805,F,active
BGD000215,Zainab Ali Al-Janabi,Baghdad,Mahmudiyah,33.05425,44.37425,F,active
BGD000216,Ahmed Omar Al-Mosuli,Baghdad,Abu Ghraib,33.27134,44.18732,M,active
BGD000217,Mustafa Yusuf Al-Tamimi,Baghdad,Mahmudiyah,33.07898,44.33541,M,active
BGD000218,Hussein Hassan Al-Azzawi,Baghdad,Sadr City,33.37197,44.47652,M,active
BGD000219,Hussein Mustafa Al-Hamdani,Baghdad,Adhamiyah,33.38259,44.37435,M,active
BGD000220,Aya Zaid Al-Shammari,Baghdad,Sadr City,33.32827,44.44397,F,active
BGD000221,Noor Hassan Al-Khafaji,Baghdad,Adhamiyah,33.43272,44.40307,F,active
BGD000222,Aya Mustafa Al-Zubaidi,Baghdad,Karkh,33.29745,44.37383,F,active
BGD000223,Maryam Zaid Al-Basri,Baghdad,Kadhimiyah,33.40468,44.36633,F,active
BGD000224,Layla Omar Al-Obaidi,Baghdad,Sadr City,33.36314,44.48876,F,active
BGD000225,Mohammed Hussein Al-Rubaie,Baghdad,Sadr City,33.39775,44.45598,M,active
BGD000226,Ali Ali Al-Janabi,Baghdad,Abu Ghraib,33.31325,44.15508,M,active
BGD000227,Fatima Mustafa Al-Dulaimi,Baghdad,Rusafa,33.30038,44.38644,F,active
BGD000228,Sara Mustafa Al-Azzawi,Baghdad,Abu Ghraib,33.35674,44.18986,F,active
BGD000229,Hussein Hassan Al-Zubaidi,Baghdad,Karkh,33.31117,44.34921,M,active
BGD000230,Rania Ahmed Al-Janabi,Baghdad,Mansour,33.29317,44.29099,F,active
BGD000231,Zainab Omar Al-Mosuli,Baghdad,Adhamiyah,33.39295,44.37382,F,active
BGD000232,Mohammed Zaid Al-Saadi,Baghdad,Sadr City,33.3858,44.40118,M,active
BGD000233,Hawraa Mustafa Al-Tamimi,Baghdad,Mansour,33.29081,44.36835,F,active
BGD000234,Fatima Hussein Al-Shammari,Baghdad,Mansour,33.27623,44.35829,F,active
BGD000235,Hussein Omar Al-Tamimi,Baghdad,Mansour,33.30289,44.34338,M,active
BGD000236,Zainab Omar Al-Baghdadi,Baghdad,Mahmudiyah,33.00258,44.36477,F,active
BGD000237,Fatima Mustafa Al-Mosuli,Baghdad,Mahmudiyah,33.04242,44.36546,F,active
BGD000238,Zainab Hassan Al-Obaidi,Baghdad,Rusafa,33.33054,44.40508,F,active
BGD000239,Ahmed Hassan Al-Zubaidi,Baghdad,Mahmudiyah,33.02798,44.34159,M,active
BGD000240,Maryam Karrar Al-Dulaimi,Baghdad,Karkh,33.3278,44.36029,F,active
BGD000241,Omar Hussein Al-Azzawi,Baghdad,Abu Ghraib,33.35073,44.1745,M,active
BGD000242,Hussein Karrar Al-Baghdadi,Baghdad,Karkh,33.28328,44.3774,M,active
BGD000243,Sara Yusuf Al-Dulaimi,Baghdad,Sadr City,33.37916,44.4787,F,active
BGD000244,Layla Yusuf Al-Tamimi,Baghdad,Sadr City,33.40686,44.42219,F,active
BGD000245,Dina Omar Al-Obaidi,Baghdad,Mansour,33.31606,44.31981,F,active
BGD000246,Dina Mohammed Al-Shammari,Baghdad,Mansour,33.28984,44.28057,F,active
BGD000247,Dina Zaid Al-Obaidi,Baghdad,Abu Ghraib,33.21294,44.14356,F,active
BGD000248,Hassan Hassan Al-Azzawi,Baghdad,Mahmudiyah,33.04677,44.3467,M,active
BGD000249,Hawraa Ali Al-Saadi,Baghdad,Rusafa,33.307,44.45033,F,active
BGD000250,Rania Hassan Al-Janabi,Baghdad,Mansour,33.31229,44.3197,F,active
BGD000251,Fatima Karrar Al-Tamimi,Baghdad,Mahmudiyah,33.07439,44.3601,F,active
BGD000252,Zainab Karrar Al-Khafaji,Baghdad,Adhamiyah,33.36423,44.37545,F,active
BGD000253,Hawraa Yusuf Al-Khafaji,Baghdad,Adhamiyah,33.35996,44.36296,F,active
BGD000254,Zainab Ali Al-Janabi,Baghdad,Mansour,33.29146,44.32839,F,active
BGD000255,Hawraa Mustafa Al-Mosuli,Baghdad,Mansour,33.33578,44.30289,F,active
BGD000256,Dina Omar Al-Janabi,Baghdad,Sadr City,33.3689,44.47302,F,active
BGD000257,Zaid Mustafa Al-Baghdadi,Baghdad,Karkh,33.31748,44.34508,M,active
BGD000258,Omar Omar Al-Tamimi,Baghdad,Mahmudiyah,33.05227,44.35969,M,active
BGD000259,Dina Yusuf Al-Zubaidi,Baghdad,Mansour,33.34348,44.29515,F,active
BGD000260,Hussein Karrar Al-Khafaji,Baghdad,Rusafa,33.3154,44.4349,M,active
BGD000261,Omar Ahmed Al-Zubaidi,Baghdad,Abu Ghraib,33.35602,44.21035,M,active
BGD000262,Hawraa Mustafa Al-Tamimi,Baghdad,Mahmudiyah,33.06121,44.35402,F,active
BGD000263,Mustafa Hussein Al-Khafaji,Baghdad,Rusafa,33.32733,44.37417,M,active
BGD000264,Ahmed Yusuf Al-Tamimi,Baghdad,Karkh,33.29955,44.34378,M,active
BGD000265,Sara Hussein Al-Azzawi,Baghdad,Rusafa,33.31594,44.4042,F,active
BGD000266,Yusuf Ahmed Al-Saadi,Baghdad,Abu Ghraib,33.27393,44.20949,M,active
BGD000267,Zainab Ahmed Al-Azzawi,Baghdad,Kadhimiyah,33.35815,44.36436,F,active
BGD000268,Zainab Hussein Al-Obaidi,Baghdad,Karkh,33.30602,44.38086,F,active
BGD000269,Fatima Zaid Al-Shammari,Baghdad,Sadr City,33.39103,44.45576,F,active
BGD000270,Omar Omar Al-Mosuli,Baghdad,Kadhimiyah,33.41645,44.36502,M,active
BGD000271,Rania Ahmed Al-Baghdadi,Baghdad,Mahmudiyah,33.08688,44.3681,F,active
BGD000272,Omar Hassan Al-Khafaji,Baghdad,Adhamiyah,33.39595,44.36694,M,active
BGD000273,Dina Karrar Al-Basri,Baghdad,Rusafa,33.32655,44.43178,F,active
BGD000274,Hassan Hussein Al-Rubaie,Baghdad,Kadhimiyah,33.40041,44.31368,M,active
BGD000275,Ali Hassan Al-Mosuli,Baghdad,Mansour,33.36304,44.24542,M,active
BGD000276,Hussein Hussein Al-Shammari,Baghdad,Mansour,33.31968,44.29038,M,active
BGD000277,Mohammed Omar Al-Basri,Baghdad,Rusafa,33.34533,44.38916,M,active
BGD000278,Hassan Omar Al-Janabi,Baghdad,Rusafa,33.34556,44.42783,M,active
